Best threshold: 308, F1:0.6729423532840124
100,0.572216689918485
101,0.5737316355005629
102,0.5750512923638393
103,0.5764629985996099
104,0.5776824284815418
105,0.5789857743131529
106,0.5801995141813354
107,0.5816162097588164
108,0.5828572652416776
109,0.5840861888220339
110,0.5853258499430041
111,0.5866938717046145
112,0.5877890244467682
113,0.5889644038719115
114,0.5901361098143973
115,0.5912093367409225
116,0.5924242961216313
117,0.5935905045109512
118,0.59472974897557
119,0.5960159770222788
120,0.5970515472346843
121,0.5980223973877422
122,0.5992595094370273
123,0.6002899884045337
124,0.6014266689042256
125,0.602648618152561
126,0.6039076197475901
127,0.604786593664815
128,0.6058655772899957
129,0.606858477580327
130,0.6079376499398403
131,0.6090440932916489
132,0.6100204667035363
133,0.6110722480209287
134,0.6119047615572921
135,0.6128073900776247
136,0.613583777109792
137,0.6145788851217582
138,0.6152515923189157
139,0.6161050909767032
140,0.6169360730570964
141,0.617622986186932
142,0.6184370395027848
143,0.6192319952084614
144,0.6200629554167514
145,0.620869877992316
146,0.6216400247066681
147,0.6223574021011161
148,0.6234407303073236
149,0.6242983941945329
150,0.625198178110699
151,0.6257401998448604
152,0.6263790800822229
153,0.6270533832843446
154,0.627882995942102
155,0.6288061937997038
156,0.629583991260387
157,0.6304049037261238
158,0.6310595099902517
159,0.6319171415530541
160,0.6326337046387704
161,0.6332686480304585
162,0.6339917467056853
163,0.6344867084885955
164,0.6350306063500548
165,0.6359702046192579
166,0.6367356799500514
167,0.6373082371530523
168,0.638120653697554
169,0.6387580358401491
170,0.6393645473594847
171,0.6399618870057002
172,0.6406323295105762
173,0.6411586588307483
174,0.6418647433016945
175,0.6425333774650797
176,0.6431318076271223
177,0.6435632243741403
178,0.6441359413171645
179,0.6448661510419358
180,0.6455538258611278
181,0.646126925099578
182,0.6468137134730426
183,0.6473081922936915
184,0.6479474779353804
185,0.6483888687167669
186,0.6489090576305926
187,0.6494830136311498
188,0.6500835221830901
189,0.6506854017602126
190,0.6512567516114125
191,0.6516030002369244
192,0.6521354909894731
193,0.6525050031649603
194,0.6530185004694516
195,0.653222866649331
196,0.6534773810671077
197,0.6539105117693058
198,0.654173633854063
199,0.65461736823154
200,0.6550108170016687
201,0.655560223450195
202,0.6559677527589851
203,0.6566104235198696
204,0.6570650281564201
205,0.6573581596848815
206,0.6574414448508462
207,0.6577635727250263
208,0.6581629351444874
209,0.6585753202549393
210,0.658566217723247
211,0.6588376707320219
212,0.6591321865175592
213,0.6594337420256093
214,0.659732492563268
215,0.6597965929226273
216,0.6600771925079043
217,0.6603158568530755
218,0.6605307090457104
219,0.660689988461206
220,0.6603891524165829
221,0.6606077524377467
222,0.6609802610077895
223,0.6612757820090733
224,0.6616263235118909
225,0.6619225382790457
226,0.6619325595775309
227,0.6621499850837321
